Year	Month	Land Δ(T) (C)	Ocean Δ(T) (C)	Ocean-Land Δ(T) (C)
1915	9	-0.52032	-0.431922	-0.458107
1915	10	-0.691331	-0.427183	-0.504551
1915	11	-0.079987	-0.406745	-0.307515
1915	12	-0.438289	-0.452817	-0.448646
1916	1	-0.572622	-0.397939	-0.448479
1916	2	-0.759245	-0.398508	-0.509279
1916	3	-1.123666	-0.442785	-0.642393
1916	4	-0.802448	-0.503324	-0.594683
1916	5	-0.749514	-0.594247	-0.640736
1916	6	-0.888067	-0.642009	-0.719194
1916	7	-0.620809	-0.639322	-0.633695
1916	8	-0.681076	-0.591412	-0.617882
1916	9	-0.652719	-0.603407	-0.618082
1916	10	-0.608679	-0.522838	-0.548941
1916	11	-0.806663	-0.680387	-0.71795
1916	12	-1.625237	-0.667876	-0.965957
1917	1	-0.933799	-0.811947	-0.848766
1917	2	-1.382816	-0.699505	-0.919378
1917	3	-1.517948	-0.765419	-0.988705
1917	4	-1.089143	-0.682312	-0.804901
1917	5	-1.318675	-0.702898	-0.896141
1917	6	-0.893044	-0.634662	-0.714503
1917	7	-0.49876	-0.502587	-0.501378
1917	8	-0.642861	-0.390012	-0.473194
1917	9	-0.523617	-0.332132	-0.392291
1917	10	-0.902521	-0.470366	-0.596891
1917	11	-0.390732	-0.544497	-0.496176
1917	12	-1.711149	-0.471783	-0.874597
1918	1	-1.039657	-0.468939	-0.640704
1918	2	-1.128065	-0.531328	-0.719125
1918	3	-0.96611	-0.531827	-0.664982
1918	4	-1.20878	-0.559354	-0.769638
1918	5	-1.154395	-0.604104	-0.782686
1918	6	-0.820153	-0.595703	-0.667633
1918	7	-0.673023	-0.561614	-0.597113
1918	8	-0.675853	-0.568465	-0.602355
1918	9	-0.445897	-0.495922	-0.479752
1918	10	-0.221257	-0.459415	-0.380404
1918	11	-0.554974	-0.312516	-0.396246
1918	12	-1.29278	-0.361075	-0.670634
1919	1	-1.013919	-0.320756	-0.549468
1919	2	-0.691608	-0.338608	-0.451473
1919	3	-1.03342	-0.351793	-0.582666
1919	4	-0.368498	-0.40005	-0.389396
1919	5	-0.799206	-0.475065	-0.574655
1919	6	-0.586403	-0.59959	-0.595524
1919	7	-0.361355	-0.62928	-0.545071
1919	8	-0.453988	-0.663866	-0.595893
1919	9	-0.435006	-0.558763	-0.519159
1919	10	-0.456882	-0.529771	-0.507217
1919	11	-0.903473	-0.573722	-0.673447
1919	12	-0.978551	-0.626241	-0.732395
1920	1	-0.460945	-0.547541	-0.5219
1920	2	-1.11789	-0.470067	-0.662706
1920	3	-0.560065	-0.388637	-0.440444
1920	4	-0.703428	-0.442714	-0.523774
1920	5	-0.524268	-0.475583	-0.490004
1920	6	-0.719716	-0.506523	-0.57335
1920	7	-0.439048	-0.580546	-0.538512
1920	8	-0.573275	-0.520019	-0.535699
1920	9	-0.547377	-0.43166	-0.465521
1920	10	-0.630839	-0.442014	-0.496809
1920	11	-0.70615	-0.420497	-0.507526
1920	12	-1.484611	-0.462645	-0.757854
1921	1	-0.195774	-0.473741	-0.395402
1921	2	-0.636191	-0.46741	-0.516035
1921	3	-0.762089	-0.548468	-0.609977
1921	4	-0.60289	-0.521218	-0.545074
1921	5	-0.510471	-0.575667	-0.556903
1921	6	-0.353027	-0.541242	-0.486361
1921	7	-0.311674	-0.479275	-0.429825
1921	8	-0.683314	-0.451497	-0.517915
1921	9	-0.457834	-0.402831	-0.418672
1921	10	-0.383606	-0.297889	-0.322501
1921	11	-0.578736	-0.385058	-0.441372
1921	12	-0.477354	-0.40965	-0.428839
1922	1	-1.034755	-0.460521	-0.621012
1922	2	-1.167024	-0.44847	-0.647235
1922	3	-0.603182	-0.401481	-0.457895
1922	4	-0.458445	-0.495757	-0.485137
1922	5	-0.620969	-0.626066	-0.624624
1922	6	-0.427005	-0.641154	-0.58124
1922	7	-0.409886	-0.600913	-0.547253
1922	8	-0.584978	-0.601467	-0.596879
1922	9	-0.585876	-0.611278	-0.604218
1922	10	-0.532741	-0.544164	-0.540873
1922	11	-0.256923	-0.490506	-0.426537
1922	12	-0.586068	-0.508922	-0.529998
1923	1	-0.533848	-0.565824	-0.557174
1923	2	-1.205694	-0.586027	-0.759736
1923	3	-0.911582	-0.593492	-0.68171
1923	4	-1.232517	-0.512548	-0.71446
1923	5	-0.820143	-0.515722	-0.600288
1923	6	-0.546131	-0.557838	-0.554584
1923	7	-0.657829	-0.574521	-0.597751
1923	8	-0.643799	-0.618808	-0.625823
1923	9	-0.501327	-0.595527	-0.56973
1923	10	-0.24742	-0.533539	-0.453063
1923	11	-0.030656	-0.398952	-0.296092
1923	12	-0.344079	-0.333494	-0.336458
1924	1	-0.914232	-0.392507	-0.539196
1924	2	-0.800087	-0.421671	-0.525132
1924	3	-0.586093	-0.38452	-0.439842
1924	4	-0.944614	-0.411195	-0.561278
1924	5	-0.609705	-0.423691	-0.475265
1924	6	-0.529016	-0.521315	-0.523486
1924	7	-0.391364	-0.582377	-0.529807
1924	8	-0.547644	-0.634277	-0.609885
1924	9	-0.419927	-0.636204	-0.574359
1924	10	-0.471388	-0.618225	-0.575717
1924	11	-0.18555	-0.705815	-0.56366
1924	12	-0.865998	-0.696778	-0.744557
1925	1	-0.906052	-0.651558	-0.721738
1925	2	-1.012078	-0.619246	-0.727331
1925	3	-0.651309	-0.573074	-0.595106
1925	4	-0.419673	-0.545182	-0.509415
1925	5	-0.626653	-0.502648	-0.53837
1925	6	-0.686968	-0.502697	-0.555527
1925	7	-0.589186	-0.47824	-0.508992
1925	8	-0.43259	-0.461986	-0.453629
1925	9	-0.345045	-0.448053	-0.418465
1925	10	-0.518884	-0.398483	-0.433211
1925	11	0.001429	-0.319182	-0.227937
1925	12	0.101979	-0.342369	-0.216757
1926	1	0.140976	-0.312511	-0.188531
1926	2	-0.086849	-0.391409	-0.306259
1926	3	-0.118933	-0.367775	-0.298499
1926	4	-0.788035	-0.335082	-0.465139
1926	5	-0.694909	-0.349358	-0.446852
1926	6	-0.485619	-0.399398	-0.423677
1926	7	-0.542827	-0.463773	-0.485962
1926	8	-0.354709	-0.416721	-0.398702
1926	9	-0.314203	-0.418188	-0.38918
1926	10	-0.139526	-0.418808	-0.340436
1926	11	-0.162628	-0.41701	-0.345841
1926	12	-0.858175	-0.421132	-0.543329
1927	1	-0.915484	-0.406889	-0.552801
1927	2	-0.774957	-0.443555	-0.53481
